student_id,event_type,registration_days_before,previous_events_registered,previous_events_attended,club_member,event_day,event_time,travel_distance_km,attended
S1080,Workshop,3,6,5,1.0,Monday,16.0,3.8,1
S1317,Hackathon,9,3,2,1.0,Saturday,14.0,5.6,0
S1486,Social,0,7,5,1.0,Sunday,14.0,3.9,1
S1397,Competition,10,0,0,1.0,Monday,18.0,10.1,1
S1168,Workshop,6,5,4,1.0,Monday,11.0,0.7,1
S1494,Workshop,6,2,1,1.0,Sunday,18.0,8.8,1
S1064,Hackathon,11,2,1,0.0,Friday,18.0,4.0,0
S1186,Talk,5,3,3,0.0,Saturday,18.0,4.2,1
S1085,Hackathon,10,4,2,1.0,Sunday,14.0,3.1,1
S1125,Workshop,5,0,0,1.0,Wednesday,16.0,14.2,1
S1074,Workshop,9,6,3,0.0,Monday,18.0,7.7,1
S1285,Talk,9,4,1,0.0,Thursday,14.0,1.2,0
S1132,Workshop,12,2,1,1.0,Sunday,9.0,5.5,0
S1069,Workshop,4,2,2,1.0,Monday,11.0,3.0,1
S1071,Competition,12,5,3,0.0,Saturday,14.0,1.6,1
S1473,Workshop,7,7,5,1.0,Saturday,9.0,1.0,1
S1248,Social,6,7,2,1.0,Monday,9.0,1.5,1
S1031,Talk,5,3,2,0.0,Monday,11.0,10.8,0
S1010,Workshop,13,4,3,1.0,Friday,11.0,4.5,0
S1056,Social,10,3,1,0.0,Friday,11.0,9.2,0
S1322,Competition,4,3,1,1.0,Thursday,16.0,2.0,1
S1407,Hackathon,7,1,1,1.0,Monday,11.0,5.7,1
S1476,Social,5,1,1,1.0,Tuesday,11.0,6.8,0
S1401,Workshop,5,4,3,1.0,Wednesday,14.0,12.6,0
S1173,Talk,13,1,1,0.0,Tuesday,14.0,6.8,1
S1377,Competition,1,3,1,1.0,Friday,11.0,3.9,0
S1483,Hackathon,12,3,3,0.0,Saturday,14.0,3.0,0
S1269,Hackathon,14,7,6,1.0,Monday,14.0,4.0,1
S1141,Social,2,6,6,1.0,Thursday,9.0,4.5,0
S1230,Talk,3,4,2,1.0,Saturday,18.0,3.0,1
S1450,Workshop,7,4,3,0.0,Saturday,14.0,3.8,1
S1181,Hackathon,1,4,3,0.0,Thursday,18.0,4.2,0
S1073,Workshop,10,3,1,1.0,Saturday,14.0,3.4,1
S1276,Talk,7,6,4,0.0,Tuesday,9.0,5.5,0
S1232,Talk,0,3,2,1.0,Wednesday,16.0,5.8,1
S1209,Workshop,5,1,1,1.0,Friday,14.0,5.5,1
S1321,Talk,2,4,2,1.0,Wednesday,18.0,6.9,1
S1267,Competition,11,8,7,1.0,Tuesday,18.0,5.5,1
S1154,Talk,5,3,3,1.0,Saturday,11.0,5.0,0
S1451,Workshop,0,4,3,1.0,Sunday,14.0,8.2,1
S1235,Workshop,13,4,2,1.0,Sunday,9.0,2.8,1
S1424,Talk,12,0,0,1.0,Tuesday,18.0,15.9,1
S1003,Competition,12,5,2,0.0,Monday,16.0,5.9,0
S1404,Competition,4,7,4,1.0,Thursday,11.0,2.4,1
S1302,Talk,14,4,3,1.0,Saturday,11.0,4.8,1
S1416,Hackathon,3,5,2,0.0,Wednesday,18.0,4.3,1
S1325,Social,10,2,2,1.0,Saturday,16.0,6.0,0
S1368,Social,13,1,0,1.0,Sunday,18.0,9.3,1
S1251,Hackathon,11,1,1,1.0,Thursday,16.0,12.9,0
S1118,Workshop,6,4,2,0.0,Saturday,14.0,2.3,1
S1077,Competition,3,2,1,1.0,Friday,16.0,6.1,0
S1492,Talk,6,5,4,1.0,Friday,18.0,2.4,1
S1212,Competition,3,5,2,1.0,Saturday,9.0,0.6,1
S1105,Workshop,8,3,1,0.0,Sunday,14.0,6.6,1
S1034,Social,10,4,2,1.0,Monday,18.0,0.8,0
S1079,Hackathon,3,4,1,1.0,Saturday,18.0,1.2,1
S1083,Hackathon,5,1,1,1.0,Thursday,14.0,8.7,1
S1470,Social,11,4,2,1.0,Wednesday,18.0,4.1,1
S1292,Workshop,12,5,3,0.0,Friday,16.0,1.2,1
S1001,Hackathon,4,5,4,1.0,Saturday,16.0,7.7,0
S1210,Workshop,9,6,6,0.0,Monday,9.0,1.6,1
S1012,Social,5,7,6,1.0,Saturday,18.0,3.0,1
S1229,Social,10,4,3,1.0,Tuesday,18.0,7.1,1
S1448,Competition,9,4,3,1.0,Saturday,18.0,19.9,1
S1023,Hackathon,0,7,4,0.0,Saturday,18.0,7.2,0
S1493,Workshop,10,3,2,1.0,Friday,18.0,8.8,0
S1078,Workshop,14,4,4,0.0,Thursday,14.0,8.7,1
S1094,Talk,12,4,3,1.0,Thursday,14.0,6.0,1
S1155,Social,5,6,5,0.0,Wednesday,18.0,8.0,0
S1191,Workshop,10,5,4,1.0,Tuesday,14.0,8.0,1
S1133,Workshop,4,3,2,1.0,Thursday,18.0,4.4,0
S1019,Hackathon,10,3,3,1.0,Sunday,18.0,4.0,0
S1339,Talk,14,6,3,0.0,Friday,14.0,11.4,0
S1411,Hackathon,14,4,3,1.0,Saturday,18.0,12.7,0
S1091,Workshop,1,3,1,1.0,Wednesday,18.0,18.6,0
S1040,Hackathon,9,4,2,1.0,Saturday,16.0,5.5,0
S1495,Talk,7,3,2,0.0,Thursday,16.0,7.7,1
S1047,Hackathon,9,3,2,0.0,Monday,18.0,8.4,0
S1395,Workshop,7,8,6,1.0,Friday,14.0,7.3,0
S1195,Workshop,7,5,3,1.0,Saturday,11.0,5.5,0
S1357,Workshop,12,4,2,0.0,Wednesday,18.0,18.9,0
S1279,Competition,6,5,5,1.0,Thursday,9.0,7.0,1
S1281,Social,12,5,4,1.0,Tuesday,16.0,3.3,0
S1182,Workshop,7,3,3,1.0,Tuesday,9.0,4.4,1
S1273,Social,2,4,3,0.0,Thursday,14.0,4.7,0
S1440,Workshop,7,3,3,0.0,Sunday,11.0,1.3,1
S1177,Competition,2,4,3,1.0,Wednesday,18.0,7.3,0
S1070,Social,14,3,2,0.0,Friday,11.0,5.7,1
S1458,Talk,4,11,6,1.0,Monday,14.0,2.7,0
S1298,Workshop,8,3,2,0.0,Saturday,14.0,6.8,1
S1417,Hackathon,5,7,3,1.0,Wednesday,18.0,4.0,1
S1102,Talk,5,3,2,1.0,Monday,11.0,14.3,0
S1488,Hackathon,12,7,6,0.0,Friday,14.0,7.5,1
S1205,Talk,6,3,2,1.0,Sunday,14.0,18.2,1
S1300,Workshop,6,5,4,1.0,Sunday,18.0,16.6,0
S1326,Competition,1,3,2,0.0,Monday,14.0,2.3,0
S1500,Social,8,3,3,0.0,Sunday,9.0,5.2,1
S1193,Social,5,2,1,1.0,Tuesday,11.0,5.4,0
S1315,Competition,13,5,3,0.0,Thursday,11.0,8.5,1
S1183,Social,7,3,2,1.0,Friday,18.0,0.5,0
S1398,Hackathon,2,2,1,1.0,Tuesday,11.0,7.7,1
S1348,Workshop,4,4,3,1.0,Monday,11.0,5.5,1
S1487,Workshop,9,3,2,1.0,Thursday,16.0,2.3,1
S1452,Talk,8,6,4,1.0,Wednesday,16.0,2.2,1
S1412,Social,0,6,5,0.0,Wednesday,16.0,9.9,0
S1439,Competition,13,6,4,1.0,Monday,18.0,1.0,1
S1352,Competition,14,5,2,0.0,Tuesday,9.0,3.4,0
S1087,Competition,2,2,1,1.0,Tuesday,18.0,5.5,0
S1076,Competition,1,5,3,0.0,Friday,14.0,5.5,0
S1462,Talk,7,2,1,0.0,Wednesday,9.0,0.5,0
S1016,Workshop,9,5,4,0.0,Tuesday,16.0,4.1,1
S1275,Talk,10,3,3,1.0,Saturday,9.0,4.2,1
S1463,Competition,7,6,5,0.0,Thursday,11.0,9.5,1
S1392,Hackathon,13,2,1,0.0,Thursday,14.0,5.5,0
S1020,Hackathon,14,4,3,0.0,Monday,18.0,1.8,1
S1334,Workshop,12,1,1,0.0,Wednesday,16.0,8.7,0
S1337,Competition,1,1,1,0.0,Friday,18.0,1.5,0
S1057,Workshop,14,4,3,1.0,Sunday,9.0,5.9,1
S1445,Competition,2,3,2,1.0,Wednesday,18.0,10.6,1
S1499,Social,7,1,1,1.0,Wednesday,16.0,10.0,1
S1238,Workshop,7,5,2,0.0,Wednesday,16.0,17.2,1
S1336,Workshop,13,2,1,0.0,Wednesday,18.0,11.7,0
S1384,Social,8,1,1,1.0,Sunday,11.0,9.0,1
S1484,Talk,10,3,2,0.0,Friday,18.0,4.2,0
S1430,Workshop,5,9,7,0.0,Friday,14.0,2.6,1
S1149,Workshop,0,5,3,0.0,Tuesday,16.0,5.8,0
S1026,Competition,3,3,3,1.0,Friday,9.0,6.5,0
S1256,Talk,5,1,1,1.0,Sunday,18.0,11.3,1
S1043,Workshop,2,4,3,0.0,Monday,16.0,1.8,1
S1393,Hackathon,5,7,5,1.0,Tuesday,16.0,11.2,0
S1196,Hackathon,1,6,5,1.0,Tuesday,14.0,0.5,0
S1282,Hackathon,6,3,3,1.0,Monday,11.0,5.2,0
S1127,Competition,11,4,2,1.0,Tuesday,18.0,7.2,0
S1496,Hackathon,9,9,5,0.0,Thursday,16.0,10.7,1
S1032,Workshop,10,3,2,1.0,Tuesday,11.0,5.0,1
S1114,Competition,13,4,2,0.0,Sunday,18.0,9.4,1
S1353,Talk,5,3,2,0.0,Saturday,14.0,2.4,0
S1211,Talk,2,2,2,1.0,Tuesday,9.0,7.2,1
S1308,Hackathon,2,6,5,0.0,Sunday,18.0,3.3,1
S1058,Workshop,0,3,3,1.0,Friday,14.0,3.4,1
S1363,Hackathon,0,7,4,1.0,Monday,16.0,3.2,0
S1025,Hackathon,7,2,1,1.0,Wednesday,9.0,2.5,1
S1018,Talk,7,4,3,1.0,Friday,9.0,1.5,1
S1250,Competition,6,3,3,1.0,Friday,14.0,5.4,0
S1067,Workshop,7,3,3,1.0,Tuesday,18.0,12.3,1
S1249,Social,13,4,2,1.0,Sunday,14.0,17.3,0
S1156,Workshop,13,4,1,0.0,Wednesday,16.0,3.6,0
S1095,Competition,10,1,1,0.0,Monday,18.0,3.9,0
S1246,Social,7,5,5,1.0,Wednesday,18.0,8.8,1
S1433,Talk,8,3,2,1.0,Sunday,18.0,12.9,0
S1024,Hackathon,13,2,1,1.0,Tuesday,14.0,3.2,1
S1318,Workshop,2,8,6,1.0,Tuesday,9.0,16.8,1
S1480,Talk,3,3,3,1.0,Tuesday,16.0,3.4,1
S1324,Workshop,1,2,2,0.0,Saturday,14.0,12.2,0
S1006,Workshop,14,3,2,1.0,Friday,18.0,1.9,1
S1117,Competition,10,1,1,0.0,Tuesday,14.0,6.0,1
S1311,Hackathon,11,6,4,0.0,Wednesday,14.0,16.1,0
S1017,Hackathon,14,2,1,0.0,Wednesday,16.0,4.9,1
S1471,Workshop,7,6,5,1.0,Sunday,11.0,1.9,1
S1362,Workshop,3,3,2,1.0,Wednesday,16.0,12.0,0
S1004,Talk,1,6,3,1.0,Monday,16.0,2.9,1
S1361,Hackathon,10,3,1,1.0,Wednesday,18.0,1.7,1
S1421,Competition,11,7,5,1.0,Thursday,16.0,0.8,1
S1061,Hackathon,13,5,3,0.0,Friday,11.0,3.0,1
S1111,Hackathon,2,2,2,1.0,Tuesday,18.0,7.8,1
S1323,Talk,8,5,3,1.0,Sunday,11.0,10.9,1
S1267,Competition,11,8,7,1.0,Tuesday,18.0,1.8,1
S1030,Workshop,14,2,2,1.0,Saturday,11.0,13.1,1
S1481,Talk,6,6,4,1.0,Monday,14.0,18.8,0
S1174,Workshop,0,5,4,1.0,Friday,16.0,5.1,0
S1027,Workshop,9,3,2,1.0,Friday,9.0,9.4,1
S1008,Social,9,6,2,1.0,Friday,11.0,3.1,0
S1461,Workshop,6,7,7,0.0,Sunday,11.0,10.9,0
S1109,Workshop,11,4,4,1.0,Friday,16.0,1.5,1
S1038,Workshop,1,7,4,0.0,Sunday,16.0,6.0,0
S1158,Competition,11,5,3,1.0,Wednesday,18.0,4.8,1
S1475,Talk,14,3,2,1.0,Saturday,16.0,9.3,1
S1119,Social,8,4,4,0.0,Tuesday,9.0,3.0,0
S1115,Talk,7,6,4,0.0,Saturday,18.0,6.4,1
S1176,Workshop,5,5,4,0.0,Wednesday,14.0,4.8,1
